Timestamp,ElapsedSec,Phase,CPU_sec,MemMB
11:44:01.755,0,INICIO (0-10VUs ramp),49.45,257.88
11:44:03.772,2.1,INICIO (0-10VUs ramp),49.45,257.88
11:44:05.789,4.1,INICIO (0-10VUs ramp),49.45,257.88
11:44:07.795,6.1,INICIO (0-10VUs ramp),49.45,105.92
11:44:09.807,8.1,INICIO (0-10VUs ramp),49.45,105.92
11:44:11.814,10.1,ESTABLE_10VUs (10-30s),49.45,105.92
11:44:13.833,12.1,ESTABLE_10VUs (10-30s),49.45,105.93
11:44:15.851,14.2,ESTABLE_10VUs (10-30s),49.45,105.93
11:44:17.870,16.2,ESTABLE_10VUs (10-30s),49.47,105.93
11:44:19.883,18.2,ESTABLE_10VUs (10-30s),49.47,105.93
11:44:21.892,20.2,ESTABLE_10VUs (10-30s),49.47,105.93
11:44:23.906,22.2,ESTABLE_10VUs (10-30s),49.47,105.93
11:44:25.926,24.2,ESTABLE_10VUs (10-30s),49.47,105.93
11:44:27.940,26.2,ESTABLE_10VUs (10-30s),49.5,105.93
11:44:29.955,28.3,ESTABLE_10VUs (10-30s),49.5,105.93
11:44:31.967,30.3,RAMPEO_30VUs (30-40s),49.52,105.94
11:44:33.986,32.3,RAMPEO_30VUs (30-40s),49.52,105.95
11:44:36.004,34.3,RAMPEO_30VUs (30-40s),49.52,105.97
11:44:38.024,36.3,RAMPEO_30VUs (30-40s),49.52,105.97
11:44:40.044,38.3,RAMPEO_30VUs (30-40s),49.52,105.97
11:44:42.064,40.4,ESTABLE_30VUs (40-60s),49.52,105.97
11:44:44.076,42.4,ESTABLE_30VUs (40-60s),49.52,105.97
11:44:46.087,44.4,ESTABLE_30VUs (40-60s),49.52,105.97
11:44:48.104,46.4,ESTABLE_30VUs (40-60s),49.52,105.97
11:44:50.121,48.4,ESTABLE_30VUs (40-60s),49.52,105.97
11:44:52.135,50.4,ESTABLE_30VUs (40-60s),49.52,105.98
11:44:54.140,52.4,ESTABLE_30VUs (40-60s),49.52,105.98
11:44:56.148,54.5,ESTABLE_30VUs (40-60s),49.56,105.98
11:44:58.161,56.5,ESTABLE_30VUs (40-60s),49.56,105.98
11:45:00.169,58.5,ESTABLE_30VUs (40-60s),49.56,105.98
11:45:02.182,60.5,BAJADA (60-70s),49.56,106.02
11:45:04.195,62.5,BAJADA (60-70s),49.56,106.02
11:45:06.209,64.5,BAJADA (60-70s),49.56,106.02
11:45:08.223,66.5,BAJADA (60-70s),49.56,106.02
11:45:10.232,68.5,BAJADA (60-70s),49.56,106.02
11:45:12.254,70.6,FIN,49.56,106.04
11:45:14.274,72.6,FIN,49.56,106.04
11:45:16.284,74.6,FIN,49.56,106.04
